DDR5,V-Color,6000,6000,32GB,TMXPL3260834SWK,Hynix A-die,DS,v,,2,v,,
DDR5,V-Color,6000,6000,32GB,TMXPL3260834KWK,Hynix A-die,DS,v,,2,v,,
DDR5,V-Color,6000,6000,32GB,TMXSAL3260830SWK,Hynix A-die,DS,,v,2,v,,
DDR5,V-Color,6000,6000,32GB,TMXSAL3260830WWK,Hynix A-die,DS,,v,2,v,,
DDR5,V-Color,6000,6000,32GB,TMXSAL3260830KWK,Hynix A-die,DS,,v,2,v,,
DDR5,V-Color,6000,6000,32GB,TMXPL3260834WWK,Hynix A-die,DS,v,,2,v,,
DDR5,ADATA,6000,6000,16GB,AX5U6000C3616G-CLAWH,Hynix A-die,SS,v,v,2,v,,
DDR5,ADATA,6000,6000,16GB,AX5U6000C3616G-SLABRWH,Hynix A-die,SS,v,v,2,v,,
DDR5,Neo Forza,6400,6400,16GB,NMGD516F82-6400FH20,Hynix M-die,SS,v,v,2,v,,
DDR5,Neo Forza,6400,6400,16GB,NMGD516F82-6400FI20,Hynix M-die,SS,v,v,2,v,,
DDR5,Neo Forza,6400,6400,16GB,NMUD516F82-6400FH20,Hynix M-die,SS,v,v,2,v,,
DDR5,Neo Forza,6400,6400,16GB,NMUD516F82-6400FI20,Hynix M-die,SS,v,v,2,v,,
DDR5,ADATA,6000,6000,16GB,AX5U6000C3616G-SLABRBK,Hynix A-die,SS,v,v,2,v,,
DDR5,ADATA,6000,6000,16GB,AX5U6000C3616G-SLABBK,Hynix A-die,SS,v,v,2,v,,
DDR5,ADATA,6000,6000,16GB,AX5U6000C3616G-DTLABWH,Hynix A-die,SS,v,v,2,v,,
DDR5,ADATA,6000,6000,16GB,AX5U6000C3616G-DTLABRWH,Hynix A-die,SS,v,v,2,v,,
DDR5,ADATA,6000,6000,16GB,AX5U6000C3616G-DTLABRBK,Hynix A-die,SS,v,v,2,v,,
DDR5,ADATA,6000,6000,16GB,AX5U6000C3616G-DTLABBK,Hynix A-die,SS,v,v,2,v,,
DDR5,ADATA,6000,6000,16GB,AX5U6000C3616G-DCLAWH,Hynix A-die,SS,v,v,2,v,,
DDR5,Team,6400,6400,16GB,FF7D516G6400HC32A01,Hynix M-die,SS,v,,2,v,,
DDR5,Team,6400,6400,16GB,FF9D532G6400HC32ADC01,Hynix M-die,SS,v,v,2,v,,
DDR5,Team,6400,6400,16GB,FF8D532G6400HC32ADC01,Hynix M-die,SS,v,,2,v,,
DDR5,Team,6400,6400,16GB,FF8D516G6400HC32A01,Hynix M-die,SS,v,,2,v,,
DDR5,Team,6400,6400,16GB,FF7D532G6400HC32ADC01,Hynix M-die,SS,v,,2,v,,
DDR5,Team,6400,6400,16GB,CTCED532G6400HC32ADC01,Hynix M-die,SS,v,,2,v,,
DDR5,Team,6400,6400,16GB,FF4D532G6400HC32ADC01,Hynix M-die,SS,v,,2,v,,
DDR5,Team,6400,6400,16GB,FF4D516G6400HC32A01,Hynix M-die,SS,v,,2,v,,
DDR5,Team,6400,6400,16GB,FF3D532G6400HC32ADC01,Hynix M-die,SS,v,,2,v,,
DDR5,Team,6400,6400,16GB,FF3D516G6400HC32A01,Hynix M-die,SS,v,,2,v,,
